http://cloc.sourceforge.net v 1.60  T=1.26 s (236.2 files/s, 34733.3 lines/s)
-------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                          blank        comment           code
-------------------------------------------------------------------------------------------------------------------------------------------------
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\Oxel.as                                                        284            335           1765
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\VoxelModel.as                                                  243            262           1328
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\ModelManager.as                                                121            117            796
C:\dev\VoxelVerse\src\com\voxelengine\utils\transitions\Tweener.as                                              138            336            658
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\EditCursor.as                                                   76             53            574
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\style.css                                                  48             17            492
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\InstanceInfo.as                                                 70             67            476
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\GrainCursor.as                                                  69             87            450
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\Player.as                                                       65            220            424
C:\dev\VoxelVerse\src\com\voxelengine\utils\transitions\properties\FilterShortcuts.as                            35            121            364
C:\dev\VoxelVerse\src\com\voxelengine\GUI\VoxelVerseGUI.as                                                       75             68            338
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\Region.as                                                       58             74            335
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\nochump\util\zip\ZipEntry.html                              0              9            325
C:\dev\VoxelVerse\src\com\voxelengine\renderer\Quad.as                                                           48             52            309
C:\dev\VoxelVerse\src\com\voxelengine\GUI\ToolBar.as                                                             62             16            308
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowModels.as                                                        47             27            298
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\GrainCursorSimple.as                                            56             73            272
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\ModelTransform.as                                               32             20            267
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowModelDetail.as                                                   40             40            260
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\Beast.as                                                        47             42            260
C:\dev\VoxelVerse\src\com\voxelengine\utils\transitions\properties\ColorShortcuts.as                             77            148            246
C:\dev\VoxelVerse\src\com\voxelengine\utils\transitions\Equations.as                                             63            411            240
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\GrainCursorUtils.as                                             83             86            237
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\asdoc.js                                                   32              3            227
C:\dev\VoxelVerse\src\com\voxelengine\renderer\VertexIndexBuilder.as                                             56             42            223
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\nochump\util\zip\ZipFile.html                               5              9            213
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\nochump\util\zip\Deflater.html                              3              9            212
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\ModelInfo.as                                                    35             24            211
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\TypeInfo.as                                                     23             16            206
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\nochump\util\zip\ZipOutput.html                             0              9            204
C:\dev\VoxelVerse\src\com\voxelengine\renderer\Renderer.as                                                       57             66            195
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\RegionManager.as                                                26             42            194
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\ZipOutput.as                                                     20             60            192
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\OxelBad.as                                                      49             63            188
C:\dev\VoxelVerse\src\com\voxelengine\GUI\PanelProcedurallyGeneratedModel.as                                     34             16            181
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\ControllableVoxelModel.as                                       36             42            180
C:\dev\VoxelVerse\src\com\voxelengine\Globals.as                                                                 39             29            176
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\Location.as                                                     42             21            175
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowDebugMenu.as                                                     39             16            172
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\TreeGenerator.as                           26            104            170
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\Inflater.as                                                      18             81            166
C:\dev\VoxelVerse\src\com\voxelengine\utils\transitions\TweenListObj.as                                          24             51            161
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowSandboxList.as                                                   32             22            159
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\Ship.as                                                         29             23            158
C:\dev\VoxelVerse\src\com\voxelengine\utils\Cube.as                                                              33            153            157
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\NoiseGenerator.as                                               38             37            156
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\MouseKeyboardHandler.as                                         31             31            155
C:\dev\VoxelVerse\src\com\voxelengine\utils\Plane.as                                                             37             51            153
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowShipControl.as                                                   27              7            143
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\Zeppelin.as                                                     25             25            136
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\AnimationTransform.as                                           22             15            136
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\TextureBank.as                                                  31             19            135
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\nochump\util\zip\CRC32.html                                 2              9            134
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowRegionNew.as                                                     31             41            133
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\LoadModelFromBigDB.as                      26             25            131
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\nochump\util\zip\Inflater.html                              4              9            131
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowReleaseMenu.as                                                   25              9            130
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowBombControl.as                                                   33              2            128
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\LayerInfo.as                                                    19             14            125
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\Sky.as                                                          27             37            124
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowObjects.as                                                       30             31            122
C:\dev\VoxelVerse\src\com\voxelengine\utils\MP3Pitch.as                                                          27             31            121
C:\dev\VoxelVerse\src\com\voxelengine\utils\SmokeSmoke.as                                                        22              5            120
C:\dev\VoxelVerse\src\com\voxelengine\utils\MP3Loop.as                                                           31             20            120
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\ModelStatisics.as                                               17             18            119
C:\dev\VoxelVerse\src\com\voxelengine\server\WindowRegister.as                                                   19              8            116
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\AddAxes.as                                 23             17            116
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowInventory.as                                                     17             16            112
C:\dev\VoxelVerse\src\com\voxelengine\utils\Bitlist.as                                                           48             71            111
C:\dev\VoxelVerse\src\com\voxelengine\player\PlayerOld.as                                                        79            478            110
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowGunControl.as                                                    28              4            110
C:\dev\VoxelVerse\src\com\voxelengine\GUI\PanelModelInfoDetail.as                                                14             11            109
C:\dev\VoxelVerse\src\com\voxelengine\renderer\shaders\Shader.as                                                 23             23            108
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\scripts\FireProjectileScript.as                                 17             14            107
